2021-09-14 19:27:55 INFO  LoginPage:49 - Export Excel
2021-09-14 19:28:05 INFO  LoginPage:49 - Export Excel
2021-09-14 19:28:15 INFO  LoginPage:49 - Export Excel
2021-09-14 19:28:25 INFO  LoginPage:49 - Export Excel
2021-09-14 19:28:35 INFO  LoginPage:49 - Export Excel
2021-09-14 19:28:45 INFO  LoginPage:49 - Export Excel
2021-09-14 19:28:55 INFO  LoginPage:49 - Export Excel
2021-09-14 19:29:05 INFO  LoginPage:49 - Export Excel
2021-09-14 19:29:16 INFO  LoginPage:49 - Export Excel
2021-09-14 19:29:25 INFO  LoginPage:49 - Export Excel
2021-09-14 19:29:35 INFO  LoginPage:49 - Export Excel
2021-09-14 19:29:45 INFO  LoginPage:49 - Export Excel
2021-09-14 19:29:55 INFO  LoginPage:49 - Export Excel
2021-09-14 19:30:05 INFO  LoginPage:49 - Export Excel
2021-09-14 19:30:15 INFO  LoginPage:49 - Export Excel
2021-09-14 19:30:25 INFO  LoginPage:49 - Export Excel
2021-09-14 19:30:35 INFO  LoginPage:49 - Export Excel
2021-09-14 19:30:45 INFO  LoginPage:49 - Export Excel
2021-09-14 19:30:52 INFO  PatientPage2:238 - Image location to write: D:\IFI-Solution\Project\Covid_tracking\src\main\java\com\ifi\javacore\management\covid\image\3.jfif
2021-09-14 19:30:52 INFO  PatientPage2:245 - Images were written succesfully.
2021-09-14 19:30:52 INFO  PatientPage2:229 - Add patient: ID 19, Name: Hoài Linh 14 Tỏi
2021-09-14 19:30:52 INFO  PatientPage2:230 - Insert patient successful!
2021-09-14 19:30:55 INFO  LoginPage:49 - Export Excel
2021-09-14 19:31:05 INFO  LoginPage:49 - Export Excel
2021-09-14 19:31:15 INFO  LoginPage:49 - Export Excel
2021-09-15 09:05:32 INFO  LoginPage:49 - Export Excel
2021-09-15 09:05:40 INFO  LoginPage:49 - Export Excel
2021-09-15 09:05:50 INFO  LoginPage:49 - Export Excel
2021-09-15 09:06:00 INFO  LoginPage:49 - Export Excel
2021-09-15 09:06:10 INFO  LoginPage:49 - Export Excel
2021-09-15 09:06:20 INFO  LoginPage:49 - Export Excel
2021-09-15 09:06:30 INFO  LoginPage:49 - Export Excel
2021-09-15 09:06:40 INFO  LoginPage:49 - Export Excel
2021-09-15 09:06:50 INFO  LoginPage:49 - Export Excel
2021-09-15 09:07:00 INFO  LoginPage:49 - Export Excel
2021-09-15 09:07:10 INFO  LoginPage:49 - Export Excel
2021-09-15 09:07:20 INFO  LoginPage:49 - Export Excel
2021-09-15 09:07:30 INFO  LoginPage:49 - Export Excel
2021-09-15 09:07:40 INFO  LoginPage:49 - Export Excel
2021-09-15 09:07:50 INFO  LoginPage:49 - Export Excel
2021-09-15 09:08:00 INFO  LoginPage:49 - Export Excel
2021-09-15 09:08:10 INFO  LoginPage:49 - Export Excel
2021-09-15 09:08:20 INFO  LoginPage:49 - Export Excel
2021-09-15 09:08:30 INFO  LoginPage:49 - Export Excel
